Code,#healthy,#guess_no_corona,#guess_corona,#sick_corona,#recovered,#recovered_confirmed,#Total_Reports
AG,78,0,2,0,8,0,88
BE,237,7,9,0,20,0,273
BL,25,3,0,0,4,0,32
BS,52,2,2,0,4,0,60
FR,1242,40,82,3,55,0,1422
GE,2378,156,232,23,73,0,2862
GL,5,0,0,0,0,0,5
GR,16,0,0,0,0,0,16
JU,235,8,0,0,0,0,243
LU,35,0,0,0,0,0,35
NE,389,10,13,0,11,0,423
NW,4,0,0,0,2,0,6
OW,16,0,0,0,4,0,20
SG,41,2,0,2,4,0,49
SH,1,0,0,0,0,0,1
SO,45,0,0,0,0,0,45
SZ,23,0,0,0,4,0,27
TG,3,0,0,0,0,0,3
TI,65,0,0,0,0,0,65
VD,8327,282,689,106,391,4,9799
VS,719,19,101,18,56,0,913
ZG,12,0,8,0,0,0,20
ZH,602,10,23,0,53,4,692
